objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
87314,8935543.168273926,1458925.9235229492,33,568,600090,33021002122,CHILDREN'S PARADISE MATRICULATION SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87348,8935643.355895996,1458935.9771118164,33,568,600090,33021002102,CPS ODAI KUPPAM,3,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Local Body,Urban
87629,8935626.213,1459378.7918701172,33,568,600041,33021002116,"CHILDREN'S PARADISE NURSERY AND PRIMARY SCHOOL,LAKSHMIPURAM",5,1,3,2,Primary,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
87933,8935440.197875977,1459823.3275146484,33,568,600090,33020901605,ARIGNAR ANNA GOVT HSS,1,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Velachery,7171,,TAMIL NADU,Chennai, ,Department of Education,Urban
79733,8924703.766906738,1443425.693725586,33,730,600127,33030600301,ACMS PONMAR,4,2,3,1,Primary with Upper Primary,Co-education,33,787, ,Tiruporur,5958,629397,TAMIL NADU,Chengalpattu,Ponmar,Government Aided,Rural
82576,8924599.349,1450479.719116211,33,730,600073,33031403001,PUMS Santhoshapuram,1,2,3,1,Primary with Upper Primary,Co-education,33,787,05703,Tambaram,5703,,TAMIL NADU,Chengalpattu, ,Department of Education,Rural
83324,8925537.883911133,1452006.297302246,33,730,600129,33031401402,TAGORE MATRICULATION SCHOOL,5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
83344,8925147.709106445,1452063.862487793,33,730,600129,33031401404,pole star matric hr sec school,5,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,,TAMIL NADU,Chengalpattu, ,Pvt. Unaided (Recognized),Rural
83375,8925470.980895996,1452109.5493164062,33,730,600129,33031401401,PUPS NANMANGALAM,1,3,3,1,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Department of Education,Rural
83376,8925470.980895996,1452109.5493164062,33,730,600129,33031401407,GHS NANMANGALAM,1,7,3,1,Upper Pr. and Secondary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Department of Education,Rural
83382,8925477.548706055,1452123.7122802734,33,730,600129,33031401403,RAGAVENDRA NURSERY & PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
83538,8924737.830688477,1452497.889892578,33,730,600129,33031401406,R R NURSERY & PRIMARY SCHOOL,5,1,3,1,Primary,Co-education,33,787,05703,Tambaram,5703,629391,TAMIL NADU,Chengalpattu,Nanmangalam (OG),Pvt. Unaided (Recognized),Rural
