lat,lon,name,category,address
13.0402539,80.2437255,Residency Towers,Residency,", Chennai"
13.0340003,80.2677522,Adyar Ananda Bhavan,Residential Apartment,"RK Mutt Road, Chennai"
13.0367415,80.2672996,Sangeetha Residency,Residency,", Chennai"
13.0294193,80.2495759,Park Sheraton Residency,Residency,", Chennai"
13.0494945,80.1998165,Majestic Apartments,Apartment Complex,", Chennai"
13.047776,80.2195109,Jains Antariksha,Residential Apartment,", Chennai"
13.0277093,80.242885,Bajaj Apartments,Apartment Complex,", Chennai"
13.0215091,80.2469945,Kottur Manor,Residential Apartment,", Chennai"
13.0201377,80.2472348,Kottur Villa,Residential Apartment,", Chennai"
13.0481292,80.1960279,Balaji Apt,Residential Apartment,", Chennai"
13.0176791,80.2626581,Ramaniyam Towers,Residential Apartment,", Chennai"
12.9267346,80.1981403,Animal Housing,Housing Colony,", Chennai"
13.0192477,80.2457679,Anmol Gardens,Residential Apartment,"Naidu Street, Chennai"
12.8991253,80.1737736,Miranda residence,Residency,", Chennai"
13.0463439,80.190746,Jains Ashraya Phase - 3 Apartment,Apartment Complex,", Chennai"
13.0461972,80.1899198,Ceebros Gardens Apartment,Apartment Complex,", Chennai"
12.9229827,80.1964733,"Casa Grande, Riviera Apartments",Apartment Complex,", Chennai"
12.9450618,80.1386821,Viswamelu Avenue,Residential Apartment,"Chitlapakkam Main Road, Chennai"
12.9658226,80.192483,Charukesi Apartments,Apartment Complex,", Chennai"
12.9643134,80.1956426,Krishna Sagar Apartments,Apartment Complex,", Chennai"
12.9710645,80.215736,Sagar Vaibhav Flats,Apartment Complex,", Chennai"
13.0347217,80.2163029,Pink Fitness Center,Residential Apartment,", Chennai"
12.9793974,80.2304209,Krav Maga Training,Residential Apartment,", Chennai"
12.912313,80.18652,Tulip apartments,Apartment Complex,", Chennai"
12.913498,80.188647,Harini flats,Apartment Complex,", Chennai"
12.913441,80.188781,Raja flats,Apartment Complex,", Chennai"
12.9586279,80.1945788,Sree Vari Foundation,Residential Apartment,"Madurakali Nagar, Chennai"
13.0896131,80.2619241,Shankeshwara Apartments,Apartment Complex,"Kalathiyappan Street, Chennai"
13.0298672,80.2421319,Unnamed Apartment,Apartment Complex,"Pasumpon Muthuramalingar Thever Salai, Chennai"
12.82083,80.229935,Oaktree apartments,Apartment Complex,", Chennai"
12.939232,80.1462628,Ruby Enclave,Residential Apartment,", Chennai"
