lat,lon,name,specialization,address
13.0928259,80.2704975,Salt Cotuars Goods Terminal,Switches & Connectors,", Chennai"
13.0651762,80.264604,Tamil Nadu Electricity Board - TNEB,Electrical Components & Wiring,", Chennai"
12.9459024,80.1390162,esskay,General Hardware,", Chennai"
12.9464004,80.1383666,balaji,General Hardware,", Chennai"
12.945106,80.1381536,ambika,General Hardware,", Chennai"
12.9489242,80.1386099,vsp ceramic,General Hardware,", Chennai"
13.0527115,80.2035986,Electricity Board,Electrical Components & Wiring,", Chennai"
12.979143,80.2525895,SRP Tools,Tools & Equipment,", Chennai"
12.9794944,80.2528353,SRP Tools,Tools & Equipment,", Chennai"
12.9789236,80.2257304,Mency Electricals,Electrical Components & Wiring,"Tansi Nagar 7th Street, Chennai"
12.9909554,80.2424547,Centre of Excellence in Wireless Technology,Electrical Components & Wiring,"Kanagam road, Taramani, Chennai"
13.013049,80.1700854,Battery Shop,General Hardware,", Chennai"
13.0159021,80.1748815,Hardware Store,General Hardware,", Chennai"
13.0163425,80.1751403,Navin's,General Hardware,", Chennai"
13.0895164,80.2862158,Rajeev Enterprises,General Hardware,", Chennai"
13.0242142,80.2141731,Electrical Shop,Electrical Components & Wiring,"West Jones Road, Chennai"
13.0241933,80.2139135,Electrical Shop,Electrical Components & Wiring,"West Jones Road, Chennai"
13.0243116,80.2141165,Murugan Hardware,General Hardware,"West Jones Road, Chennai"
13.0277387,80.183419,Unnamed Hardware Shop,General Hardware,", Chennai"
13.0899717,80.2862838,Unnamed Hardware Shop,General Hardware,"Philips street, Chennai"
13.0981361,80.1612525,Unnamed Hardware Shop,General Hardware,", Chennai"
12.9887139,80.2306876,Department of Electrical Engineering;Electrical Engineering Department,Electrical Components & Wiring,", Chennai"
12.974664,80.2629357,Tamil Nadu Electricity Board,Electrical Components & Wiring,"Kottivakkam Kuppam Road, Chennai City Corporation Limits"
12.8044885,80.2238095,JAY SHREE ELECTRICAL AND HARDWARE,Electrical Components & Wiring,", Chennai"
12.8046904,80.2238691,Hena Enterprises,General Hardware,"OMR, Chennai"
12.9861355,80.2512974,SRP Tools Bus Stand,Tools & Equipment,", Chennai"
12.922946,80.1257028,Tamilnadu electricity board office,Electrical Components & Wiring,", Chennai"
12.9288196,80.1481084,Vairam Galaxy Hardware Shop,General Hardware,", Chennai"
12.9866305,80.1421966,Unnamed Hardware Shop,General Hardware,", Chennai"
12.928532,80.1300965,Jeyaraj hardware store,General Hardware,", Chennai"
12.8363725,80.2282688,Bharathi pipes,Pipes & Conduits,", Chennai"
13.0827393,80.1918796,Ganga Electrical & Hardware,Electrical Components & Wiring,", Chennai"
13.0120804,80.1305407,sre,General Hardware,", Chennai"
13.02571,80.1758146,Mirthiran,General Hardware,"Mount Poonamallee Highway, Chennai"
13.0335119,80.1609976,Shanmugam hardwards,General Hardware,"Mount Poonamallee Highway, chennai"
13.0141985,80.2013231,General Electric,Electrical Components & Wiring,", Chennai"
12.9803219,80.2520981,Tamil Nadu Electricity Employees Central Point,Electrical Components & Wiring,", Chennai"
12.9131018,80.2202375,PipePoint1,Pipes & Conduits,", Chennai"
13.0553176,80.2455879,Watts Motor Electrical,Electrical Components & Wiring,", Chennai"
13.0556362,80.2439717,J P Electric Corporation,Electrical Components & Wiring,", Chennai"
13.0542236,80.2457366,Shanthi Electricals,Electrical Components & Wiring,", Chennai"
13.0524834,80.2425334,Tamil Nadu Electricity Generation & Distribution office,Electrical Components & Wiring,", Chennai"
