lat,lon,name,amenity_type,address_city
12.9489729,80.1397503,DCOE Office,college,Chennai
12.9481562,80.1397886,Lecture Hall Complex,college,Chennai
12.9486173,80.1407986,Department of Aeronautical Engineering,college,Chennai
12.9491126,80.1409786,Mechatronics,college,Chennai
12.9492943,80.1410981,Department of Production Technology,college,Chennai
12.9478814,80.1403398,Department of Automobile Engineering,college,Chennai
12.9484691,80.1398525,RLHC (Rajam Lecture Hall Complex),college,Chennai
12.9426246,80.1416397,NSN School,school,Chennai
12.953827,80.1368303,Government Boys Higher Secondary School,school,Chennai
12.9519873,80.1345334,Lakshmi Ammal School,school,Chennai
12.9523982,80.1344901,Government Girls Higher Secondary School,school,Chennai
12.9674323,80.1281637,Sarada Matriculation School,school,Chennai
12.9656183,80.1275092,Meenakshi Krishan Polytechnic College,college,Chennai
12.9660634,80.1263205,Ammaniammal School,school,Chennai
12.9895379,80.1000841,Vivekananda School,school,Chennai
12.9873006,80.1065161,Sivanthi Public School,school,Chennai
12.928648,80.1453706,Sreevatsa Viswanathan Vivekananda Vidhyalaya,school,Chennai
12.9510813,80.1488697,St Mark's School,school,Chennai
12.9715673,80.1265543,Sri Sankara Vidyalaya Matriculation School,school,Kanchipuram
12.9228716,80.132183,Sri Sankara Vidyalaya Matriculation Higher Secondary School,school,Chennai
12.9242095,80.1279331,Kidzee kids school,kindergarten,Chennai
12.9239351,80.1583508,Alpha school,school,Chennai
12.9360597,80.1609096,Zion matriculation higher secondary school,school,Chennai
12.9428412,80.1502698,Saviour Jesus Matriculation Higher Secondary School,school,Chennai
12.9404891,80.1561516,Shikshaa Matriculation Higher Secondary School,school,Chennai
12.9221572,80.1163643,Christ king metric hr sec school,school,Chennai
12.9170277,80.1155469,St Mary's metric hr sec school,school,Chennai
12.9161721,80.1156075,CSI Middle school,school,Chennai
12.9223303,80.1429628,St Mark matric school,school,Chennai
12.9480327,80.1396335,Admin Block & Dean Office,college,Chennai
12.9761444,80.138181,Nadar Sangam Matric Hr Sec School,school,Chennai
13.0301954,80.1774604,Assisi School,school,Chennai
13.0139207,80.181246,Aloha Kinderstart,kindergarten,Chennai
13.0280878,80.1325689,Kids R Us,kindergarten,Chennai
13.0223009,80.173833,Kids at Play DayCare Center,kindergarten,Chennai
