lat,lon,name,type,specialization,address
12.9960126,80.2678,Spencers,supermarket,General Stationery,"2nd Avenue, Chennai"
13.0703937,80.2155995,Spencers,department_store,General Stationery,", Chennai"
13.0328095,80.2570496,Spencers Daily,supermarket,General Stationery,"CP Ramaswamy Road, Chennai"
13.0768878,80.2108686,Spencer's,supermarket,General Stationery,"Poonamallee High Road, Chennai"
13.0443873,80.1855534,Spencers,supermarket,General Stationery,"Arcot Road, Chennai"
13.0267144,80.2614084,Spencer's Daily,supermarket,General Stationery,"2nd Main Road, Chennai"
13.0501632,80.2040587,Spencers Super Market,supermarket,General Stationery,"Arunachalam St, Vadapalani"
12.9825831,80.18853,Spencer's,supermarket,General Stationery,"4th Main Road, Nanganallur, Chennai"
13.0922011,80.2155811,Hi Stationery,stationery,General Stationery,", Chennai"
13.0407849,80.2469704,Students Xerox Teynampet,copyshop,Copy & Printing Services,", Chennai"
13.0162691,80.1751001,PhotoStudio,copyshop,Copy & Printing Services,", Chennai"
13.0605423,80.2406254,Eagle Book Store,stationery,General Stationery,", Chennai"
12.9818346,80.2198124,Stamp Vendor,copyshop,Copy & Printing Services,", Chennai"
13.0938933,80.2820863,sri chakra industries,stationery,General Stationery,"Govindappa Naicken Street, Chennai"
12.9852747,80.2317187,Raja Xerox,copyshop,Copy & Printing Services,", Chennai"
12.9276967,80.127524,"fast track computers service, print , Xerox ship",copyshop,Copy & Printing Services,", Chennai"
12.926071,80.126482,"Antony Xerox , courier shop",copyshop,Copy & Printing Services,", Chennai"
12.8045788,80.2235916,Ram xerox,copyshop,Copy & Printing Services,", Chennai"
12.804874,80.2238995,N.N.Fancy store,stationery,General Stationery,"Rajiv Gandhi Salai, Chennai"
13.0590922,80.236526,Unnamed Stationery Shop,stationery,General Stationery,", Chennai"
13.0865649,80.1926503,Bhavani Plastics & Stationery,stationery,General Stationery,"Gandhi nagar, Padikuppam Road,    Anna Nagar West, Chennai, Chennai"
12.9811178,80.2294443,News Paper,newsagent,General Stationery,", Chennai"
13.0120811,80.1306359,paper plastick,paper_shop,General Stationery,"Kundrathur Main Road periyapanicherry, chennai"
13.0836963,80.2127994,New Raja Thread Stores,stationery,General Stationery,", Chennai"
12.9540688,80.1422549,Penguin Xerox,copyshop,Copy & Printing Services,", Chennai"
13.0324796,80.2652114,Stationery,stationery,General Stationery,"Alamelumangapuram, Chennai"
13.0533167,80.245562,Master Copiers,copyshop,Copy & Printing Services,", Chennai"
13.0538941,80.2498548,Makoba,stationery,General Stationery,", Chennai"
12.911734,80.1370679,Stationary shop,stationery,General Stationery,", Chennai"
12.973811,80.1879219,Stationery Store,stationery,General Stationery,", Chennai"
13.0292686,80.2085889,Xerox World,computer,Copy & Printing Services,"Shop No : 1, 90, Kasi Estate, West Jafferkhanpet, Chennai, Tamil Nadu 600083, Chennai"
