lat,lon,name,address
13.0390386,80.2508349,Reliance Fresh,", Chennai"
13.005869,80.2518431,Nilgiri's,", Chennai"
12.9960126,80.2678,Spencers,"2nd Avenue, Chennai"
13.0221142,80.259468,More,", Chennai"
13.0287447,80.2495317,Amma Naana,", Chennai"
13.031996,80.2566384,Nilgiris,", Chennai"
13.0328095,80.2570496,Spencers Daily,"CP Ramaswamy Road, Chennai"
13.0443358,80.2637655,Waitrose,"P. S. Sivasamy Street, Chennai"
13.0520052,80.2041201,LG showroom,", Chennai"
13.070585,80.219622,Fresh @ Aminjikarai,", Chennai"
12.9154934,80.1527869,MORE,", Chennai"
12.949222,80.1389598,More,", Chennai"
13.057596,80.1941907,Nilgiris Supermarket,", Chennai"
13.0596967,80.1952529,Reliance Fresh,", Chennai"
13.0485387,80.2072397,Unnamed Supermarket,", Chennai"
12.9230073,80.1597381,More,", Chennai"
13.0731363,80.2103428,Reliance Fresh,", Chennai"
13.0768878,80.2108686,Spencer's,"Poonamallee High Road, Chennai"
12.9823833,80.2225074,Latta Supermarket,"Dandeeswaram Main Road, Chennai"
13.0398647,80.2516758,K-Store,", Chennai"
13.0443873,80.1855534,Spencers,"Arcot Road, Chennai"
13.0629161,80.2136124,Grace Supermarket,"MMDA Colony Main Rd, Chennai"
13.0734564,80.2213633,Star Bazaar,"Nelson Manickam Road, Chennai"
13.2761607,80.2602133,Aalaya Super Market,", Chennai"
13.0354172,80.2160673,Pazhamuthir,", Chennai"
13.0267144,80.2614084,Spencer's Daily,"2nd Main Road, Chennai"
13.1165955,80.102916,Avadi Supermarket,", Chennai"
12.9291074,80.2029956,Nilgiris Supermarket,", Chennai"
13.0206071,80.2430807,Hertiage Fresh Supermarket,", Chennai"
13.0420426,80.1769318,Niligiris,", Chennai"
13.0501632,80.2040587,Spencers Super Market,"Arunachalam St, Vadapalani"
12.9737686,80.2580999,J.K. Stores,", Chennai"
12.9735902,80.2580826,Sri Murugan Stores,", Chennai"
13.0468582,80.1903845,Chandra Metro Mall,", Chennai"
13.0342232,80.2174636,Jeevan,", Chennai"
12.9952269,80.2522381,Cee Dee Yes supermarket,"I Avenue Indira nagar, Chennai"
13.1183106,80.1520277,Farm Bazzar,", Chennai"
13.1186809,80.1519693,Reliance Fresh,", Chennai"
12.9810009,80.229992,Shopper's Paradise,", Chennai"
12.9208313,80.1684881,Venkateshwara Supermarket,"Velachery Main Road, Chennai"
12.9719184,80.219018,Sri Venkatashwara Supermarket,"11th Main Road, Chennai"
13.0769447,80.2071871,Murugan Supermarket,", Chennai"
12.9614559,80.2563781,Singapore Shoppee,", Chennai"
12.9463123,80.196992,Lingam Stores,", Chennai"
12.9387074,80.1789482,Ambika Supermarket,"Ezhumalai Road, Nanmangalam, Chennai, Chennai"
13.059543,80.2467629,Nilgiri's,", Chennai"
13.0676158,80.2050056,Stop and Shop,", Chennai"
12.9744402,80.1349055,More,", Chennai"
12.9730064,80.2200478,Annachi SuperMarket,", Chennai"
13.0414126,80.2385427,Reliance Fresh,", Chennai"
12.9556878,80.187056,Mothers World,", Chennai"
12.9488805,80.184016,Sri Devi Super Market,"Pallavaram Duraipalkam Road, Chennai"
13.0630707,80.2293217,Reliance Fresh,"Abdullah Street, Chennai"
12.9825831,80.18853,Spencer's,"4th Main Road, Nanganallur, Chennai"
12.9775601,80.187849,Mahayoham Supermarket,"46th Street, Chennai"
12.9838491,80.1920439,Nilgiri's,"Nanganallur, Chennai"
12.9830023,80.191427,Heritage Fresh,"Nanganallur, Chennai"
13.0163006,80.1749834,Alams Super Market,", Chennai"
12.8936755,80.1835818,Manjal Supermarket,", Chennai"
12.9636492,80.2453424,Nilgiri's,", Chennai"
13.0922181,80.2173031,Reliance Fresh,", Chennai"
12.9827037,80.1917975,Sugar N Spice,", Chennai"
12.9841137,80.221979,Pazhamudhir Cholai,"Jagannathapuram 1st Main road, Chennai"
12.9837296,80.2226282,Nilgiri's,", Chennai"
12.9905101,80.2188199,Buy Bazaar,", Chennai"
12.965964,80.2023937,GMart,", Chennai"
13.0430957,80.1862123,Grace supermarket,", Chennai"
13.0175064,80.1745662,Grow SuperMarket Manapakkam,", Chennai"
12.9828491,80.2618804,Singapore Shoppe,"1st Seaward Road, Chennai"
12.9232303,80.1281591,Heritage Fresh,"Velachery - Tambaram Main Road, Chennai"
12.923199,80.1260691,Pick n Pack,"Velachery - Tambaram Main Road, Chennai"
12.9225832,80.1409505,Nilgiri's,"Velachery - Tambaram Main Road, Chennai"
13.0388272,80.2592138,Wait Rose,", Chennai"
13.0325923,80.266752,Sri Krishna Stores,", Chennai"
13.0597092,80.2528473,Nilgiri's,", Chennai"
13.0070553,80.2505372,Style One,", Chennai"
13.0253001,80.2224448,More,", Chennai"
13.0385168,80.2214489,Reliance Fresh,", Chennai"
12.9969608,80.2405136,Ambika Retail,", Chennai"
13.0071295,80.2509856,Reliance Trends,", Chennai"
12.9719365,80.1410815,Nilgiri's,", Chennai"
12.9701862,80.1470173,More,", Chennai"
13.0989018,80.2598799,ARS SUPER MARKET,"Perambur Barracks Rd, CHENNAI"
13.0815953,80.2252294,Fresh @ Shenoy Nagar (Heritage),", Chennai"
13.0597055,80.1955743,Lakshmi Stores,", Chennai"
13.0034121,80.2101801,Madras Supermarket,"Maduvankarai Bridge, Chennai"
13.0686453,80.2246263,Kovai Pazhamudir Nilayam,"Nelson Manickam Road, Chennai"
13.0698579,80.2248039,Nilgiri's,"Nelson Manickam Road, Chennai"
13.024337,80.2144512,Sumal Vegetables Market,"West Jones Road, Chennai"
13.0064298,80.251867,Unnamed Supermarket,", Chennai"
13.0108047,80.1392609,Waitrose,", Chennai"
12.9839879,80.2181179,Unnamed Supermarket,", Chennai"
13.0484469,80.1201057,Nilgiris,", Chennai"
12.9648137,80.2093652,Shine Supermarket,", Chennai"
13.0143187,80.2362976,gurunath stores,"sardar patel road anna university ceg campus, chennai"
13.0379675,80.2297373,Saravana Stores Super Market,"Ramanathan Street, t.nagar"
13.0356535,80.2306035,Unnamed Supermarket,"South Usman Road, Chennai"
13.03801,80.2294591,Unnamed Supermarket,"Ramanathan Street, Chennai"
13.0839331,80.2776473,Unnamed Supermarket,", Chennai"
12.9856682,80.2307424,Sri Ayyanaar Store,"Gandhi Road, Chennai"
13.0379652,80.1927849,Unnamed Supermarket,"Anna Main Road, Chennai"
13.1011642,80.1392897,Ration store,", Chennai"
12.9862638,80.2249871,Sri Periyandavar Super Market,", Chennai"
13.0871698,80.1881554,Annachi Supermarket,"Bazaar Rd, Thirumangalam, Collector Nagar, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600101, Chennai"
13.085416,80.199766,Nilgris Supermarket,"2nd Avenue, Anna Nagar, Chennai"
13.081515,80.1670292,DR SUPER MARKET,"Ramalingam Salai, 4th Block, Mogappair West, Ambattur Industrial Estate, Chennai"
12.9771822,80.2621523,Unnamed Supermarket,", Chennai"
12.9233541,80.1185524,Unnamed Supermarket,", Chennai"
12.9266092,80.1477953,Prime mart supermarket,", Chennai"
12.9298944,80.148073,Unnamed Supermarket,", Chennai"
12.8972566,80.1418258,Unnamed Supermarket,", Chennai"
13.0845384,80.2781615,Unnamed Supermarket,"South Mint Street, Chennai"
12.9813012,80.2295534,Ayya SuperMarket,", Chennai"
12.9799898,80.2089352,JK Super Market,"Aandal Nagar, 6th Cross Street, Adambakkam - 600088, Chennai"
13.0874539,80.1966386,Annachi Super Market,", Chennai"
13.0175213,80.2681846,Unnamed Supermarket,", Chennai"
13.045587,80.2407688,Nuts and Spices,", Chennai"
13.0455141,80.2406636,Nilgiri's,", Chennai"
13.079402,80.1978426,Unnamed Supermarket,", Chennai"
13.1222343,80.1500716,Passumai Pazamudir Nilayam,", Chennai"
12.9308504,80.1939106,Unnamed Supermarket,", Chennai"
13.1011119,80.1570095,Neo Supermarket,"Thiruppur Kumaran Street, VGN Shanthi Nagar, Ambattur, Chennai, Ambattur, Chennai"
13.054753,80.2455557,Helice,", Chennai"
13.0554705,80.2456105,Rajendran Store,", Chennai"
13.0553682,80.2457969,Angadi,", Chennai"
13.0574051,80.2430596,Grace World,", Chennai"
12.9695845,80.2439087,WhatsFresh,"Dr MGR Main Road, Perungudi"
12.9122673,80.1428736,Sri Rajeswari Stores,"IAF Road, Indira Nagar, Selaiyur, Chennai"
12.9103631,80.143275,Murugan Stores Super Market,", Selaiyur, Chennai"
13.0210736,80.1602804,Arush Retail Supermarket,"Mugalivakkam Main Road, Mugalivakkam"
13.0398646,80.131182,Grace Hypermarket,", Chennai"
12.9564331,80.142844,Nuts 'n' Spices,", Chennai"
13.0342714,80.2155103,Nuts N Spices,", Chennai"
13.0341642,80.2151382,Grace Super Market,", Chennai"
12.9665853,80.2360977,Krishna Supermarket,", Chennai"
12.9549315,80.1894763,Meena Supermarket,", Chennai"
13.1228705,80.1492032,Ponnu's Super Market,", Chennai"
13.0932135,80.1897943,Prabhuraja supermarket,"NSC Bose st, Kumaran nagar,Padi, Chennai"
13.1214544,80.1480943,Singapore Shopping,", Chennai"
13.1189931,80.1537233,Grace Supermarket,", Chennai"
